Description,Title,Original Title,URL,Title Type,IMDb Rating,Year,Genres,Directors
Fantasy,Inception,Inception,https://www.imdb.com/title/tt1375666/,Movie,8.8,2010,"Action, Adventure, Sci-Fi, Thriller",Christopher Nolan
Animated,Peter Pan,Peter Pan,https://www.imdb.com/title/tt0046183/,Movie,7.3,1953,"Animation, Adventure, Family, Fantasy, Musical","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney"
Western,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,Movie,8.8,1966,"Adventure, Drama, Western",Sergio Leone
Superhero (Yes that is a genre),The Dark Knight,The Dark Knight,https://www.imdb.com/title/tt0468569/,Movie,9,2008,"Action, Crime, Drama, Thriller",Christopher Nolan
Action,Desperado,Desperado,https://www.imdb.com/title/tt0112851/,Movie,7.1,1995,"Action, Crime, Drama, Thriller, Western",Robert Rodriguez
Swashbuckler,The Adventures of Robin Hood,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,Movie,7.9,1938,"Action, Adventure, Romance","Michael Curtiz, William Keighley"
Musical,The Rocky Horror Picture Show,The Rocky Horror Picture Show,https://www.imdb.com/title/tt0073629/,Movie,7.4,1975,"Comedy, Horror, Musical",Jim Sharman
Crime,Pulp Fiction,Pulp Fiction,https://www.imdb.com/title/tt0110912/,Movie,8.9,1994,"Crime, Drama",Quentin Tarantino
Science Fiction,Brazil,Brazil,https://www.imdb.com/title/tt0088846/,Movie,7.8,1985,"Drama, Sci-Fi, Thriller",Terry Gilliam
"Comedy(Last I saw it,I laughed my ass off)",The Naked Gun: From the Files of Police Squad!,The Naked Gun: From the Files of Police Squad!,https://www.imdb.com/title/tt0095705/,Movie,7.6,1988,"Comedy, Crime",David Zucker
Road,Thelma & Louise,Thelma & Louise,https://www.imdb.com/title/tt0103074/,Movie,7.6,1991,"Adventure, Crime, Drama",Ridley Scott
Adventure,Raiders of the Lost Ark,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,Movie,8.4,1981,"Action, Adventure",Steven Spielberg
"War(Have not seen Saving Private Ryan,The Thin Red Line,Platoon, Full Metal Jacket nor The Bridge on the river Kwai)",The Guns of Navarone,The Guns of Navarone,https://www.imdb.com/title/tt0054953/,Movie,7.5,1961,"Action, Adventure, Drama, War",J. Lee Thompson
Exploitation,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",https://www.imdb.com/title/tt0059170/,Movie,6.6,1965,"Action, Comedy",Russ Meyer
Bio-Pic,Ed Wood,Ed Wood,https://www.imdb.com/title/tt0109707/,Movie,7.8,1994,"Biography, Comedy, Drama",Tim Burton
Guy,The Expendables,The Expendables,https://www.imdb.com/title/tt1320253/,Movie,6.4,2010,"Action, Adventure, Thriller",Sylvester Stallone
Romance,True Romance,True Romance,https://www.imdb.com/title/tt0108399/,Movie,7.9,1993,"Crime, Drama, Romance, Thriller",Tony Scott
"Teen(Portrayal of teenagers very accurate,which is rare) (Also a great movie,best teen movie I have seen)",Charlie Bartlett,Charlie Bartlett,https://www.imdb.com/title/tt0423977/,Movie,6.9,2007,"Comedy, Drama, Romance",Jon Poll
Thriller,Psycho,Psycho,https://www.imdb.com/title/tt0054215/,Movie,8.5,1960,"Horror, Mystery, Thriller",Alfred Hitchcock
"HorrorTarantino once said that a papercut frightens him more than a maniac with a chainsaw,becouse he can relate much more to the papercut.Well,all the horror in this movie can be found in normal activities.To be quite fair,this is one these movies you dont see.This is one of these movies you experience.",Black Swan,Black Swan,https://www.imdb.com/title/tt0947798/,Movie,8,2010,"Drama, Thriller",Darren Aronofsky
Drama,The King's Speech,The King's Speech,https://www.imdb.com/title/tt1504320/,Movie,8,2010,"Biography, Drama, History",Tom Hooper
Spoof,Hot Fuzz,Hot Fuzz,https://www.imdb.com/title/tt0425112/,Movie,7.8,2007,"Action, Comedy, Mystery, Thriller",Edgar Wright
Mystery,Vertigo,Vertigo,https://www.imdb.com/title/tt0052357/,Movie,8.3,1958,"Mystery, Romance, Thriller",Alfred Hitchcock
Epic,Lawrence of Arabia,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,Movie,8.3,1962,"Adventure, Biography, Drama, War",David Lean
"Unwatchable Crappy *beep*(Yes,that is a genre)",Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,https://www.imdb.com/title/tt0270846/,Movie,1.5,2004,"Comedy, Family, Sci-Fi",Bob Clark
